Nº   NOMBRE                      TIPO                CINTA   REGISTRO
127  SPY HUNTER                  ARCADE              I-30    127
128  BACKGAMMON                  JUEGO DE MESA       I       128
129  MILLIPEDE                   ARCADE              I       129
130  3D TUNNEL                   ARCADE              I       130
131  UU-FILE                     UTILIDAD            I-M     131
132  MASTER FILE                 UTILIDAD            I       132
133  TIME GATE                   ARCADE              J       133
134  HUNTER KILLER               SIMULADOR           J       134
135  SPECTRUM CHESS              JUEGO DE MESA       J       135
136  SOLITARIO                   JUEGO DE MESA       J       136
137  TABLA PERIODICA             UTILIDAD            J       137
138  FUN AT THE FAIR             ARCADE              J       138
139  SPAWN OF EVIL               ARCADE              J       139
140  YENGHT                      CONVERSACIONAL      J       140
141  MANIC MINER                 ARCADE              J-W     141
142  SCRABBLE                    JUEGO DE MESA       J       142
143  MAZIACS                     ARCADE              J       143
144  GALAXIANS                   ARCADE              J       144

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
