Nº   NOMBRE                      TIPO                CINTA   REGISTRO
235  TURBO ESPRIT                ARCADE              Q-25    235
236  BARRY MCGUIGAN'S BOXING     S. DEPORTIVO        Q       236
237  PING-PONG                   S. DEPORTIVO        Q-24    237
238  MIKIE                       ARCADE              Q-25    238
239  GREEN BERET                 ARCADE              Q       239
240  SPITFIRE 40                 SIMULADOR           Q       240
241  FRIDAY 13th                 ARCADE              R       241
242  CYBERUN                     ARCADE              R       242
243  SAMANTHA FOX STRIP POKER    JUEGO DE MESA       R       243
244  7 CARD STUD                 JUEGO DE MESA       R       244
245  CODENAME MAT II             ARCADE              R       245
246  ROBIN OF THE WOOD           VIDEOAVENTURA       R       246
247  TOMAHAWK                    SIMULADOR           R       247
248  V                           VIDEOAVENTURA       R       248
249  BOMB JACK                   ARCADE              R       249
250  DEUPAC                      UTILIDAD            Q       250
251  SQUASH                      S. DEPORTIVO        R-31    251
252  COBRA'S ARC                 CONVERSACIONAL      R       252

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
