Nº   NOMBRE                      TIPO                CINTA   REGISTRO
73   CYCLONE                     ARCADE              F       73
74   AUTOMANIA                   VIDEOAVENTURA       F       74
75   EVERYONE'S A WALLY          VIDEOAVENTURA       F       75
76   HUNCHBACK II                ARCADE              F       76
77   ESKIMO EDDIE                ARCADE              F       77
78   WIZARD                      ARCADE              F       78
79   DELTA WING                  ARCADE              F       79
80   BUGGY BLAST                 ARCADE              F       80
81   MONTY IS INNOCENT           ARCADE              F       81
82   UNDERWURLDE                 VIDEOAVENTURA       F-Z     82
83   VALHALLA                    CONVERSACIONAL      F       83
84   PENETRATOR                  ARCADE              F       84
85   COMBAT LYNX                 SIMULADOR           G       85
86   TORNADO LOW LEVEL           ARCADE              G       86
87   KNIGHT'S LORE               VIDEOAVENTURA       G-U     87
88   THE HULK                    CONVERSACIONAL      G       88
89   SAIMAZOOM                   VIDEOAVENTURA       G       89
90   FLIGHT SIMULATOR            SIMULADOR           G       90

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
