Nº   NOMBRE                      TIPO                CINTA   REGISTRO
145  GHOSTBUSTERS                ARCADE              J       145
146  SPACE INTRUDERS             ARCADE              J       146
147  3D MONSTERS                 ARCADE              J       147
148  NIGHTLIFE                   ARCADE              J       148
149  CENTIPEDE                   ARCADE              J       149
150  LEAGUE CRICKET              S. DEPORTIVO        J       150
151  TRANSYLVANIAN TOWER         ARCADE              J       151
152  KONG STRIKES BACK           ARCADE              K       152
153  PROFANATION                 VIDEOAVENTURA       K       153
154  LORDS OF MIDNIGHT           CONVERSACIONAL      K       154
155  GYRON                       ARCADE              K       155
156  TRAVEL WITH TRASHMAN        ARCADE              K-P     156
157  BATTLECARS                  ARCADE              K-P     157
158  THE DUKES OF HAZZARD        ARCADE              L       158
159  ZAXXON                      ARCADE              K       159
160  ANT ATTACK                  ARCADE              Y       160
161  3D DEATHCHASE               ARCADE              K       161
162  JET PAC                     ARCADE              K       162

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
