Nº   NOMBRE                      TIPO                CINTA   REGISTRO
19   OLIMPICON                   ARCADE              B       19
20   MATCH POINT                 S. DEPORTIVO        B-E     20
21   THE BIRDS AND THE BEES      ARCADE              B       21
22   EL ESCALADOR LOCO           ARCADE              B       22
23   ZZOOM                       ARCADE              B       23
24   ZIP ZAP                     ARCADE              B       24
25   COPYCAT 3                   UTILIDAD            B       25
26   COSMIC CRUISER              ARCADE              B       26
27   BLACK HOLE                  ARCADE              B       27
28   CHUCKIE EGG                 ARCADE              B       28
29   THE KEY                     UTILIDAD            B       29
30   COOKIE                      ARCADE              B       30
31   BLUE THUNDER                ARCADE              B       31
32   SPACE SHUTTLE               SIMULADOR           B       32
33   STATION ZEBRA               ARCADE              B       33
34   ANDROID II                  ARCADE              B       34
35   INFRARED                    UTILIDAD            B       35
36   ZX DISASSEMBLER             UTILIDAD            B       36

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
